ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,target_bin,bin
2005-09-28 15:00:00,10.5304,221.69363848916925,10.8,222.1,210-240,210-240
2005-09-28 16:00:00,11.4610815,227.11807533514497,12.05,232.3,210-240,210-240
2005-09-28 17:00:00,11.350325,225.39501311470625,12.82,237.1,210-240,210-240
2005-09-28 18:00:00,12.830875,226.331925839878,13.51,235.5,210-240,210-240
2005-09-28 19:00:00,13.044138,225.770369410062,15.99,240.3,240-270,210-240
2005-09-28 20:00:00,13.578889,222.78077815678705,15.69,238.1,210-240,210-240
2005-09-28 21:00:00,13.384323,220.21805749037736,16.77,226.0,210-240,210-240
2005-09-28 22:00:00,13.689841,220.95446730650715,18.65,233.1,210-240,210-240
2005-09-28 23:00:00,13.996391,227.43863154545863,16.62,232.4,210-240,210-240
2005-09-29 00:00:00,13.132833,241.8285646986208,16.53,230.0,210-240,240-270
2005-09-29 01:00:00,11.901573,273.3722947686166,18.03,250.3,240-270,270-300
2005-09-29 02:00:00,11.624295,295.0692061426644,15.29,283.7,270-300,270-300
2005-09-29 03:00:00,11.676523,301.4419295541668,12.23,311.8,300-330,300-330
2005-09-29 04:00:00,11.641217,303.1507096708546,12.89,317.7,300-330,300-330
2005-09-29 05:00:00,11.222577,300.24087206134925,12.88,313.1,300-330,300-330
2005-09-29 06:00:00,10.690959,296.2964906631811,15.15,312.3,300-330,270-300
2005-09-29 07:00:00,10.592452,291.67469635681704,13.68,308.8,300-330,270-300
2005-09-29 08:00:00,11.047568,288.6430110495211,13.78,303.5,300-330,270-300
2005-09-29 09:00:00,11.019921,288.52404885669284,13.41,300.3,300-330,270-300
2005-09-29 10:00:00,10.033244,291.5632604787884,13.52,301.0,300-330,270-300
2005-09-29 11:00:00,9.834409,289.08148115986,13.43,308.2,300-330,270-300
2005-09-29 12:00:00,9.667574,292.880864994924,11.57,307.4,300-330,270-300
2005-09-29 13:00:00,9.350782,291.3809415858464,11.08,301.8,300-330,270-300
2005-09-29 14:00:00,9.655955,289.3723366408254,10.08,307.5,300-330,270-300
2005-09-29 15:00:00,9.628543,290.5728559852909,10.04,302.5,300-330,270-300
2005-09-29 16:00:00,8.957119,291.0351353478084,11.05,303.9,300-330,270-300
2005-09-29 17:00:00,8.647855,291.81200800924046,10.93,302.7,300-330,270-300
2005-09-29 18:00:00,8.143065,292.3471797764423,9.8,294.9,270-300,270-300
2005-09-29 19:00:00,7.474924,291.3132953529971,9.05,297.9,270-300,270-300
2005-09-29 20:00:00,6.825089,288.0191721935065,9.96,298.7,270-300,270-300
2005-09-29 21:00:00,6.1399355,282.9653004348261,8.34,296.9,270-300,270-300
2005-09-29 22:00:00,6.2258444,276.2158984247798,8.19,287.1,270-300,270-300
2005-09-29 23:00:00,5.588165,270.1750663763474,6.873,282.9,270-300,270-300
2005-09-30 00:00:00,5.7940226,261.2656551449819,7.19,279.4,270-300,240-270
2005-09-30 01:00:00,6.136684,252.65487292849124,6.78,265.3,240-270,240-270
2005-09-30 02:00:00,6.60418,248.7442199152461,8.18,260.4,240-270,240-270
2005-09-30 03:00:00,6.16261,228.42254691688203,7.02,242.9,240-270,210-240
2005-09-30 04:00:00,7.4197273,208.7511779604627,8.34,237.6,210-240,180-210
2005-09-30 05:00:00,9.1711445,199.5108506379781,9.88,237.3,210-240,180-210
2005-09-30 06:00:00,10.549384,199.0043335997036,9.94,221.4,210-240,180-210
2005-09-30 07:00:00,11.098973,206.98401401607777,11.35,206.2,180-210,180-210
2005-09-30 08:00:00,11.617251,216.0493169137731,12.73,206.5,180-210,210-240
2005-09-30 09:00:00,11.666654,222.37272965659207,13.19,215.5,210-240,210-240
2005-09-30 10:00:00,10.412518,224.74480562083528,12.6,217.6,210-240,210-240
2005-09-30 11:00:00,9.243146,225.2195984322471,11.5,221.7,210-240,210-240
2005-09-30 12:00:00,9.033339,225.12507464365152,11.34,227.8,210-240,210-240
2005-09-30 13:00:00,7.5930057,218.7062129420811,10.57,228.5,210-240,210-240
2005-09-30 14:00:00,8.658545,214.4525852869886,9.98,222.7,210-240,210-240
2005-09-30 15:00:00,8.550102,219.0034581306223,11.03,219.0,210-240,210-240
2005-09-30 16:00:00,8.357492,217.21961176096173,10.77,217.1,210-240,210-240
2005-09-30 17:00:00,8.777828,216.8728793302938,10.67,222.6,210-240,210-240
2005-09-30 18:00:00,8.924224,222.35950953890864,11.59,217.5,210-240,210-240
2005-09-30 19:00:00,8.8246975,222.8005826248228,11.17,221.9,210-240,210-240
2005-09-30 20:00:00,8.923871,219.54885186365095,11.95,225.9,210-240,210-240
2005-09-30 21:00:00,9.156352,218.52366839461823,11.78,218.2,210-240,210-240
2005-09-30 22:00:00,9.740935,217.484802372675,12.79,217.8,210-240,210-240
2005-09-30 23:00:00,10.473739,224.79588845877308,12.61,227.1,210-240,210-240
2005-10-01 00:00:00,10.412721,232.8080119418452,13.56,227.0,210-240,210-240
2005-10-01 01:00:00,9.950398,241.15048149942055,12.76,239.8,210-240,240-270
2005-10-01 02:00:00,9.436262,265.3913796718868,15.33,254.6,240-270,240-270
2005-10-01 03:00:00,10.047803,290.4139829104728,10.9,315.9,300-330,270-300
2005-10-01 04:00:00,9.300559,290.6329451888889,7.51,303.0,300-330,270-300
2005-10-01 05:00:00,9.213296,280.29432903740513,10.55,293.6,270-300,270-300
2005-10-01 06:00:00,9.740302,271.66336548758113,12.05,288.7,270-300,270-300
2005-10-01 07:00:00,9.850486,266.357261271728,13.12,282.2,270-300,240-270
2005-10-01 08:00:00,9.591422,264.1604129977642,12.21,285.1,270-300,240-270
2005-10-01 09:00:00,9.422637,262.9497095028444,11.96,275.7,270-300,240-270
