ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,target_bin,bin
2005-09-05 00:00:00,7.0967565,121.52398569770816,12.76,124.7,120-150,120-150
2005-09-05 01:00:00,6.554903,134.65436650390302,8.62,141.0,120-150,120-150
2005-09-05 02:00:00,4.5496454,130.9745559982304,7.57,140.6,120-150,120-150
2005-09-05 03:00:00,3.3197734,120.79007440304152,8.74,135.8,120-150,120-150
2005-09-05 04:00:00,2.604091,129.58194921369875,7.67,127.5,120-150,120-150
2005-09-05 05:00:00,2.3198385,152.41443618040984,6.09,138.4,120-150,150-180
2005-09-05 06:00:00,1.9095745,150.61815175313916,3.02,129.6,120-150,150-180
2005-09-05 07:00:00,1.575387,100.17675624914796,5.09,114.0,90-120,90-120
2005-09-05 08:00:00,2.5465102,82.39075527860733,2.76,152.6,150-180,60-90
2005-09-05 09:00:00,3.318859,98.14237044851484,1.2,76.4,60-90,90-120
2005-09-05 10:00:00,1.5496881,151.21236621813972,0.98,253.5,240-270,150-180
2005-09-05 11:00:00,1.3360019,223.759822453,5.24,280.7,270-300,210-240
2005-09-05 12:00:00,2.179958,283.2436115669252,4.73,278.6,270-300,270-300
2005-09-05 13:00:00,3.3610435,307.17646387451936,5.68,296.3,270-300,300-330
2005-09-05 14:00:00,4.124639,316.1336209728054,3.14,327.3,300-330,300-330
2005-09-05 15:00:00,4.606913,324.8122142284792,2.42,300.5,300-330,300-330
2005-09-05 16:00:00,4.605503,323.4685469378794,3.92,332.0,330-360,300-330
2005-09-05 17:00:00,4.3648005,316.4155988068385,2.75,343.6,330-360,300-330
2005-09-05 18:00:00,3.8866098,312.9798165344894,2.43,339.9,330-360,300-330
2005-09-05 19:00:00,3.1856802,308.28424238481824,2.13,305.9,300-330,300-330
2005-09-05 20:00:00,2.569623,315.1454549862908,0.98,302.1,300-330,300-330
2005-09-05 21:00:00,1.8471804,321.05841507064014,0.58,74.3,60-90,300-330
2005-09-05 22:00:00,1.1734982,305.71299902955303,1.99,237.0,210-240,300-330
2005-09-05 23:00:00,0.8015423,292.0762716718759,1.87,234.8,210-240,270-300
2005-09-06 00:00:00,0.76704323,256.0460864862508,2.5,214.7,210-240,240-270
2005-09-06 01:00:00,0.7223804,215.0379008714371,2.46,208.9,180-210,210-240
2005-09-06 02:00:00,1.0615386,199.30411875566188,3.16,186.9,180-210,180-210
2005-09-06 03:00:00,0.96779436,203.0864988489287,3.86,184.1,180-210,180-210
2005-09-06 04:00:00,0.78184766,192.80262475420565,3.06,174.6,150-180,180-210
2005-09-06 05:00:00,0.9407118,163.19714233531403,2.06,178.8,150-180,150-180
2005-09-06 06:00:00,1.6483402,158.81863502330572,2.19,161.0,150-180,150-180
2005-09-06 07:00:00,2.1171281,163.25838660408047,2.61,137.5,120-150,150-180
2005-09-06 08:00:00,2.3995497,155.73526179912878,4.93,119.4,90-120,150-180
2005-09-06 09:00:00,2.4004343,146.54214452141278,3.12,118.3,90-120,120-150
2005-09-06 10:00:00,2.074736,131.1795894350389,2.83,95.9,90-120,120-150
2005-09-06 11:00:00,1.5247335,125.48204385613052,2.76,52.7,30-60,120-150
2005-09-06 12:00:00,0.6704683,59.55686454379397,3.92,61.1,60-90,30-60
2005-09-06 13:00:00,1.4106987,7.286809441047268,2.74,62.1,60-90,0-30
2005-09-06 14:00:00,2.0252478,1.3891831127062062,1.73,47.8,30-60,0-30
2005-09-06 15:00:00,2.3283045,4.675757955634822,1.76,41.5,30-60,0-30
2005-09-06 16:00:00,1.9579654,28.743914491123206,1.07,78.9,60-90,0-30
2005-09-06 17:00:00,1.6110741,65.87887464470177,1.95,152.6,150-180,60-90
2005-09-06 18:00:00,1.324463,88.58056173820512,1.16,189.2,180-210,60-90
2005-09-06 19:00:00,0.4484776,108.98481927298852,2.08,177.4,150-180,90-120
2005-09-06 20:00:00,0.99329484,234.5219131068347,2.73,187.0,180-210,210-240
2005-09-06 21:00:00,2.3129249,229.7476754660168,5.18,231.7,210-240,210-240
2005-09-06 22:00:00,3.470322,231.75442519530395,6.17,257.2,240-270,210-240
2005-09-06 23:00:00,4.1315465,223.5904195597581,7.1,244.4,240-270,210-240
2005-09-07 00:00:00,4.6200676,216.815433217355,4.85,224.8,210-240,210-240
2005-09-07 01:00:00,5.068265,216.07555992940507,4.42,202.7,180-210,210-240
2005-09-07 02:00:00,6.072233,218.4471372623625,5.95,237.3,210-240,210-240
2005-09-07 03:00:00,6.6501217,224.17391470744556,7.95,243.0,240-270,210-240
