ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,target_bin,bin
2005-09-05 00:00:00,1.1892,158.85,12.76,124.7,120-150,150-180
2005-09-05 01:00:00,1.2627,158.13,8.62,141.0,120-150,150-180
2005-09-05 02:00:00,1.4421,166.21,7.57,140.6,120-150,150-180
2005-09-05 03:00:00,1.6734,161.04,8.74,135.8,120-150,150-180
2005-09-05 04:00:00,1.8827,152.35,7.67,127.5,120-150,150-180
2005-09-05 05:00:00,2.2579,147.69,6.09,138.4,120-150,120-150
2005-09-05 06:00:00,3.0332,182.17,3.02,129.6,120-150,180-210
2005-09-05 07:00:00,2.7363,194.6,5.09,114.0,90-120,180-210
2005-09-05 08:00:00,2.5646,202.43,2.76,152.6,150-180,180-210
2005-09-05 09:00:00,2.3413,206.33,1.2,76.4,60-90,180-210
2005-09-05 10:00:00,2.3748,215.01,0.98,253.5,240-270,210-240
2005-09-05 11:00:00,2.5017,224.41,5.24,280.7,270-300,210-240
2005-09-05 12:00:00,3.9017,247.96,4.73,278.6,270-300,240-270
2005-09-05 13:00:00,3.7694,254.16,5.68,296.3,270-300,240-270
2005-09-05 14:00:00,3.3538,259.95,3.14,327.3,300-330,240-270
2005-09-05 15:00:00,2.9914,265.13,2.42,300.5,300-330,240-270
2005-09-05 16:00:00,2.8433,272.13,3.92,332.0,330-360,270-300
2005-09-05 17:00:00,2.6309,275.94,2.75,343.6,330-360,270-300
2005-09-05 18:00:00,1.671,286.16,2.43,339.9,330-360,270-300
2005-09-05 19:00:00,0.3283,261.95,2.13,305.9,300-330,240-270
2005-09-05 20:00:00,0.82591,128.34,0.98,302.1,300-330,120-150
2005-09-05 21:00:00,1.0915,116.96,0.58,74.3,60-90,90-120
2005-09-05 22:00:00,1.2125,125.58,1.99,237.0,210-240,120-150
2005-09-05 23:00:00,1.4486,133.03,1.87,234.8,210-240,120-150
2005-09-06 00:00:00,1.2259,152.0,2.5,214.7,210-240,150-180
2005-09-06 01:00:00,1.3256,162.77,2.46,208.9,180-210,150-180
2005-09-06 02:00:00,1.2483,188.39,3.16,186.9,180-210,180-210
2005-09-06 03:00:00,1.1345,213.53,3.86,184.1,180-210,210-240
2005-09-06 04:00:00,1.2232,214.92,3.06,174.6,150-180,210-240
2005-09-06 05:00:00,1.2687,218.32,2.06,178.8,150-180,210-240
2005-09-06 06:00:00,1.9163,222.98,2.19,161.0,150-180,210-240
2005-09-06 07:00:00,1.4152,219.89,2.61,137.5,120-150,210-240
2005-09-06 08:00:00,0.83805,207.33,4.93,119.4,90-120,180-210
2005-09-06 09:00:00,0.69965,167.6,3.12,118.3,90-120,150-180
2005-09-06 10:00:00,0.77279,186.45,2.83,95.9,90-120,180-210
2005-09-06 11:00:00,0.79855,202.41,2.76,52.7,30-60,180-210
2005-09-06 12:00:00,2.0901,138.46,3.92,61.1,60-90,120-150
2005-09-06 13:00:00,1.8792,141.15,2.74,62.1,60-90,120-150
2005-09-06 14:00:00,1.2922,159.92,1.73,47.8,30-60,150-180
