ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,target_bin,bin
2004-04-03 13:00:00,9.774,190.0,13.41,198.7,180-210,180-210
2004-04-03 14:00:00,8.231,190.0,13.69,214.2,210-240,180-210
2004-04-03 15:00:00,9.26,210.0,15.0,219.8,210-240,180-210
2004-04-03 16:00:00,8.746,210.0,16.4,220.6,210-240,180-210
2004-04-03 17:00:00,8.231,210.0,15.92,210.0,180-210,180-210
2004-04-03 18:00:00,7.717,200.0,13.43,199.9,180-210,180-210
2004-04-03 19:00:00,7.202,190.0,9.27,193.5,180-210,180-210
2004-04-03 20:00:00,5.144,170.0,9.47,182.3,180-210,150-180
2004-04-03 21:00:00,4.63,180.0,7.26,170.1,150-180,150-180
2004-04-03 22:00:00,4.116,190.0,5.803,203.5,180-210,180-210
2004-04-03 23:00:00,4.63,220.0,7.33,225.1,210-240,210-240
2004-04-04 00:00:00,4.63,240.0,7.6,255.9,240-270,210-240
2004-04-04 01:00:00,7.202,270.0,10.9,285.0,270-300,240-270
2004-04-04 02:00:00,7.717,280.0,10.71,284.9,270-300,270-300
2004-04-04 03:00:00,8.231,280.0,11.78,280.5,270-300,270-300
2004-04-04 04:00:00,8.231,270.0,12.32,270.8,270-300,240-270
2004-04-04 05:00:00,8.231,260.0,13.39,268.0,240-270,240-270
2004-04-04 06:00:00,9.26,260.0,13.87,263.6,240-270,240-270
2004-04-04 07:00:00,10.803,260.0,14.18,258.4,240-270,240-270
2004-04-04 08:00:00,9.774,250.0,14.44,255.6,240-270,240-270
2004-04-04 09:00:00,8.746,250.0,12.89,249.0,240-270,240-270
2004-04-04 10:00:00,7.717,240.0,11.52,236.1,210-240,210-240
2004-04-04 11:00:00,6.688,220.0,10.36,221.4,210-240,210-240
2004-04-04 12:00:00,6.688,210.0,12.24,227.7,210-240,180-210
2004-04-04 13:00:00,5.144,210.0,16.02,217.0,210-240,180-210
2004-04-04 14:00:00,8.231,210.0,13.28,220.5,210-240,180-210
2004-04-04 15:00:00,6.688,220.0,13.63,230.6,210-240,210-240
2004-04-04 16:00:00,5.659,240.0,10.32,257.3,240-270,210-240
2004-04-04 17:00:00,8.231,250.0,10.93,250.8,240-270,240-270
2004-04-04 18:00:00,6.688,260.0,10.63,255.5,240-270,240-270
2004-04-04 19:00:00,11.832,260.0,13.3,256.9,240-270,240-270
2004-04-04 20:00:00,8.746,260.0,13.16,255.6,240-270,240-270
2004-04-04 21:00:00,9.774,250.0,12.38,265.6,240-270,240-270
2004-04-04 22:00:00,9.26,260.0,14.42,265.0,240-270,240-270
2004-04-04 23:00:00,10.289,260.0,14.34,269.1,240-270,240-270
2004-04-05 00:00:00,9.774,260.0,14.43,265.4,240-270,240-270
2004-04-05 01:00:00,10.803,260.0,15.06,263.9,240-270,240-270
2004-04-05 02:00:00,10.289,250.0,14.7,264.0,240-270,240-270
2004-04-05 03:00:00,11.318,250.0,13.93,264.4,240-270,240-270
2004-04-05 04:00:00,11.318,260.0,14.29,261.2,240-270,240-270
2004-04-05 05:00:00,10.289,250.0,14.87,255.6,240-270,240-270
2004-04-05 06:00:00,10.803,250.0,16.25,260.8,240-270,240-270
2004-04-05 07:00:00,12.861,260.0,16.51,263.2,240-270,240-270
2004-04-05 08:00:00,13.376,260.0,17.28,261.7,240-270,240-270
2004-04-05 09:00:00,13.376,260.0,17.0,264.1,240-270,240-270
2004-04-05 10:00:00,12.347,260.0,16.76,264.8,240-270,240-270
2004-04-05 11:00:00,11.832,260.0,15.22,260.3,240-270,240-270
2004-04-05 12:00:00,8.231,250.0,15.32,263.0,240-270,240-270
2004-04-05 13:00:00,9.774,260.0,12.32,271.6,270-300,240-270
2004-04-05 14:00:00,9.26,270.0,10.47,282.3,270-300,240-270
2004-04-05 15:00:00,10.289,290.0,12.61,293.2,270-300,270-300
2004-04-05 16:00:00,10.803,280.0,10.79,296.3,270-300,270-300
2004-04-05 17:00:00,10.803,280.0,11.87,296.5,270-300,270-300
2004-04-05 18:00:00,11.318,290.0,12.56,294.2,270-300,270-300
2004-04-05 19:00:00,12.347,290.0,17.19,310.1,300-330,270-300
2004-04-05 20:00:00,11.318,290.0,15.75,309.7,300-330,270-300
2004-04-05 21:00:00,10.803,300.0,14.64,301.6,300-330,270-300
2004-04-05 22:00:00,10.289,290.0,16.16,304.7,300-330,270-300
2004-04-05 23:00:00,9.774,300.0,14.87,299.3,270-300,270-300
2004-04-06 00:00:00,9.774,290.0,14.17,305.0,300-330,270-300
2004-04-06 01:00:00,8.231,300.0,14.19,300.8,300-330,270-300
2004-04-06 02:00:00,8.746,290.0,17.59,304.3,300-330,270-300
2004-04-06 03:00:00,10.803,280.0,17.91,298.7,270-300,270-300
2004-04-06 04:00:00,8.746,290.0,12.57,291.7,270-300,270-300
