ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,target_bin,bin
1991-09-17 09:00:00,7.717,260.0,9.86,268.0,240-270,240-270
1991-09-17 10:00:00,7.202,260.0,10.12,274.0,270-300,240-270
1991-09-17 11:00:00,6.688,260.0,8.65,268.1,240-270,240-270
1991-09-17 12:00:00,7.202,240.0,9.16,259.2,240-270,210-240
1991-09-17 13:00:00,7.717,220.0,10.3,257.8,240-270,210-240
1991-09-17 14:00:00,7.717,220.0,9.84,256.0,240-270,210-240
1991-09-17 15:00:00,8.231,220.0,9.55,255.9,240-270,210-240
1991-09-17 16:00:00,7.202,210.0,5.55,276.8,270-300,180-210
1991-09-17 17:00:00,6.688,190.0,9.69,264.3,240-270,180-210
1991-09-17 18:00:00,6.688,170.0,9.14,269.0,240-270,150-180
1991-09-17 19:00:00,6.173,170.0,9.08,281.6,270-300,150-180
1991-09-17 20:00:00,7.717,170.0,9.09,284.2,270-300,150-180
1991-09-17 21:00:00,8.231,180.0,6.28,279.5,270-300,150-180
1991-09-17 22:00:00,8.231,190.0,7.57,282.4,270-300,180-210
1991-09-17 23:00:00,10.289,200.0,7.55,270.7,270-300,180-210
1991-09-18 00:00:00,10.803,190.0,6.28,238.5,210-240,180-210
1991-09-18 01:00:00,10.803,190.0,9.03,266.9,240-270,180-210
1991-09-18 02:00:00,9.774,200.0,8.52,262.2,240-270,180-210
1991-09-18 03:00:00,9.774,200.0,7.42,258.8,240-270,180-210
1991-09-18 04:00:00,10.289,220.0,8.8,255.1,240-270,210-240
1991-09-18 05:00:00,9.26,250.0,8.63,253.6,240-270,240-270
1991-09-18 06:00:00,5.659,290.0,9.55,251.0,240-270,270-300
1991-09-18 07:00:00,9.774,280.0,9.35,252.0,240-270,270-300
1991-09-18 08:00:00,10.803,280.0,10.06,254.9,240-270,270-300
1991-09-18 09:00:00,8.746,270.0,9.2,248.3,240-270,240-270
1991-09-18 10:00:00,10.289,270.0,9.15,255.7,240-270,240-270
1991-09-18 11:00:00,9.26,270.0,8.35,250.1,240-270,240-270
1991-09-18 12:00:00,8.746,270.0,8.18,245.6,240-270,240-270
1991-09-18 13:00:00,8.231,260.0,8.64,244.6,240-270,240-270
