ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,prediction
2017-01-27 14:00:00,7.9624434,156.4814437697175,9.60938,153.98438,9.268624370819028
2017-01-27 15:00:00,7.85435,153.4928012924809,7.85156,140.625,9.271478590734242
2017-01-27 16:00:00,7.987475,151.14351199470374,9.375,138.51563,9.041476264707551
2017-01-27 17:00:00,8.30539,150.0890126186287,8.73047,132.53906,9.098303645435765
2017-01-27 18:00:00,8.659115,150.87244401044515,8.37891,142.38281,8.975959912101022
2017-01-27 19:00:00,8.772664,154.78925776503593,8.61328,137.8125,9.20216596901829
2017-01-27 20:00:00,8.7020035,158.65050120847934,9.66797,140.97656,9.133794915486487
2017-01-27 21:00:00,8.685077,158.25306617904738,8.55469,146.60156,9.266658314897338
2017-01-27 22:00:00,8.189968,151.59008488045257,9.31641,142.03125,9.778403275267209
2017-01-27 23:00:00,8.779753,148.59668025742835,10.07813,135.70313,10.424575741263457
2017-01-28 00:00:00,9.425404,151.93263254324282,10.83984,140.27344,10.960691806469104
2017-01-28 01:00:00,9.939381,156.28560011982034,11.01563,148.00781,11.270165072565362
2017-01-28 02:00:00,9.909145,158.06974292497765,10.07813,150.46875,11.702681430104196
2017-01-28 03:00:00,10.124504,159.8557053218232,10.3125,154.6875,11.881498215729579
2017-01-28 04:00:00,10.211356,161.39843348063005,10.37109,142.38281,11.736883067705538
2017-01-28 05:00:00,10.296381,161.47419989498707,10.48828,144.84375,11.719879346556809
2017-01-28 07:00:00,10.171095,164.01730252726907,10.72266,150.82031,11.835776146587547
2017-01-28 08:00:00,10.19858,166.19888781022033,11.30859,156.79688,11.8413539277484
2017-01-28 09:00:00,10.38863,171.88575534752263,10.01953,159.60938,11.887301262925048
2017-01-28 10:00:00,10.48668,178.58559897243882,9.96094,163.47656,11.784615864894617
2017-01-28 11:00:00,10.164618,185.5133614973908,8.78906,185.27344,11.851916584549242
2017-01-28 12:00:00,9.860055,192.5149753219868,7.85156,201.79688,11.79573069481955
2017-01-28 13:00:00,9.416415,200.87497344129545,11.25,206.01563,11.540212044001624
2017-01-28 14:00:00,9.053756,208.8844762232452,10.07813,209.17969,11.406343810626847
2017-01-28 15:00:00,8.635695,210.99117808780903,9.43359,207.07031,11.467894202279139
2017-01-28 16:00:00,8.461839,208.98029683663543,7.79297,207.42188,11.143094042842666
2017-01-28 17:00:00,8.45558,206.76772328111895,7.79297,209.53125,11.102727144522543
2017-01-28 18:00:00,8.794245,208.35316344999868,9.31641,190.19531,11.224943069407013
2017-01-28 19:00:00,9.309348,212.1120740893749,9.90234,199.6875,11.796413008998506
2017-01-28 20:00:00,9.595519,214.7392223698492,9.43359,210.9375,12.060587916239744
2017-01-28 21:00:00,9.7642355,217.10042546793173,10.3125,216.91406,12.084316445416865
2017-01-28 22:00:00,9.484527,220.4903435304972,10.07813,215.50781,11.659929001542547
2017-01-28 23:00:00,8.985514,215.19752833775868,8.37891,211.64063,10.626721069645374
2017-01-29 00:00:00,8.917731,212.18014221179268,9.02344,213.75,10.174438604270847
2017-01-29 01:00:00,8.898606,210.94054773814568,8.78906,202.85156,9.839447823440835
2017-01-29 02:00:00,8.56706,202.86957455273472,8.02734,210.58594,9.67786335632671
2017-01-29 03:00:00,8.611318,200.2105341963432,7.91016,217.96875,9.899499603695894
2017-01-29 04:00:00,8.923569,203.2874146052864,9.49219,206.36719,9.90208862161299
2017-01-29 05:00:00,9.177004,207.53616665497609,9.84375,202.14844,10.042383314144672
2017-01-29 06:00:00,9.370886,212.4530605740712,10.60547,201.79688,10.15697565609674
2017-01-29 07:00:00,9.353491,214.0117071811065,10.95703,204.60938,10.013945504689508
2017-01-29 08:00:00,9.284735,213.9111742792563,10.54688,218.32031,9.753744185217318
2017-01-29 10:00:00,8.640804,217.2860795339953,9.19922,211.28906,9.448498801344611
2017-01-29 11:00:00,8.642261,216.92488973208415,10.01953,215.15625,9.260027946004596
2017-01-29 12:00:00,8.126645,213.84282654047115,9.72656,210.58594,9.757982188939678
2017-01-29 13:00:00,7.62168,206.11831148231252,8.55469,197.57813,9.87281266574835
2017-01-29 14:00:00,7.614732,193.4700331103249,9.72656,192.30469,10.357155976559387
2017-01-29 15:00:00,8.022653,187.3702804374109,10.19531,176.48438,10.583877202500696
2017-01-29 19:00:00,10.310324,174.95115310780042,11.36719,171.5625,11.093511455311685
2017-01-29 20:00:00,10.505395,171.56300321026592,11.01563,163.47656,11.944096400129824
2017-01-29 21:00:00,10.205721,164.83979637484637,11.30859,159.96094,12.345509175989886
2017-01-29 22:00:00,9.698888,159.68117675978942,11.42578,160.66406,12.68117570006904
2017-01-29 23:00:00,10.415052,162.06431762042627,11.42578,151.17188,12.630093855647567
2017-01-30 00:00:00,11.100638,174.88613531583326,11.60156,156.09375,12.75117759759586
2017-01-30 01:00:00,11.166392,187.65909674569485,10.07813,182.8125,12.953196250031004
2017-01-30 02:00:00,11.299347,202.51654663316828,13.76953,200.39063,12.49442917132972
2017-01-30 03:00:00,10.930265,217.1019442298041,13.35938,215.85938,11.791988445296422
2017-01-30 04:00:00,10.011128,228.06637486089096,11.13281,220.78125,10.809747046088054
2017-01-30 05:00:00,8.689112,244.85543214434975,10.72266,229.92188,8.956679820757806
2017-01-30 07:00:00,6.1122317,301.3677451189487,8.4375,317.8125,7.810380055270909
2017-01-30 08:00:00,5.395487,309.4015535064142,6.50391,301.64063,7.1652521294400495
2017-01-30 09:00:00,5.180893,306.531935390878,6.09375,297.42188,6.388699564533259
