ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,bin,target_bin
1991-07-13 09:00:00,6.929684,233.95840338019136,7.3,221.03,210-240,210-240
1991-07-13 10:00:00,5.539522,225.54153629761757,6.59,213.99,210-240,210-240
1991-07-13 11:00:00,6.125095,228.82530956969677,5.9,221.03,210-240,210-240
1991-07-13 12:00:00,6.304066,233.3839935464865,8.39,216.81,210-240,210-240
1991-07-13 13:00:00,6.2206426,236.9366808988068,7.77,219.62,210-240,210-240
1991-07-13 14:00:00,5.891366,237.15888513877803,6.9,216.81,210-240,210-240
1991-07-13 15:00:00,6.5268655,242.4581540765369,9.07,219.62,240-270,210-240
1991-07-13 16:00:00,6.754538,252.32157227625103,8.35,229.48,240-270,210-240
1991-07-13 17:00:00,5.622586,254.9442213640067,8.86,239.33,240-270,210-240
1991-07-13 18:00:00,5.5301876,262.5662230075532,6.95,236.52,240-270,210-240
1991-07-13 19:00:00,5.479738,261.03459987547603,5.25,236.52,240-270,210-240
1991-07-13 20:00:00,5.51088,263.14775049423395,7.95,252.0,240-270,240-270
1991-07-13 21:00:00,4.968713,264.07348359586183,6.31,236.52,240-270,210-240
1991-07-13 22:00:00,4.4593945,270.1979871366158,8.79,250.6,270-300,240-270
1991-07-13 23:00:00,4.11407,276.0109327919013,5.04,284.38,270-300,270-300
1991-07-14 00:00:00,3.6912878,277.3194770081377,5.87,282.98,270-300,270-300
1991-07-14 01:00:00,3.5992274,281.7777601615353,4.96,281.57,270-300,270-300
1991-07-14 02:00:00,3.5568962,286.86384751748767,4.59,292.83,270-300,270-300
1991-07-14 03:00:00,3.4707265,290.6448205854565,5.02,295.65,270-300,270-300
1991-07-14 04:00:00,3.490306,291.4929359845465,5.4,302.69,270-300,300-330
1991-07-14 05:00:00,3.7097833,292.0055321749218,2.4,305.5,270-300,300-330
1991-07-14 06:00:00,3.7167754,298.6664785855605,1.52,316.76,270-300,300-330
1991-07-14 07:00:00,3.7138996,302.31889272181525,3.38,319.58,300-330,300-330
1991-07-14 08:00:00,3.7275984,290.09201662951983,4.16,322.4,270-300,300-330
1991-07-14 09:00:00,4.1582656,277.68520051196714,4.99,297.05,270-300,270-300
1991-07-14 10:00:00,4.650929,266.914503430289,4.23,249.19,240-270,240-270
1991-07-14 11:00:00,4.7566757,264.279593084951,6.47,249.19,240-270,240-270
1991-07-14 12:00:00,4.6319537,261.7859347197792,5.91,226.66,240-270,210-240
1991-07-14 13:00:00,4.543923,255.8749925787217,5.14,209.77,240-270,180-210
1991-07-14 14:00:00,4.768136,248.76738249907515,8.31,222.44,240-270,210-240
