ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,bin,target_bin
1992-11-04 22:00:00,4.481883,256.61233004681947,2.01,135.0,240-270,120-150
1992-11-04 23:00:00,4.269329,248.95425451285757,5.18,156.0,240-270,150-180
1992-11-05 00:00:00,4.194851,243.5325358481969,4.67,169.0,240-270,150-180
1992-11-05 01:00:00,4.3329773,239.68104746030497,3.83,170.0,210-240,150-180
1992-11-05 02:00:00,4.525653,238.9048469020664,4.14,166.0,210-240,150-180
1992-11-05 03:00:00,4.5546117,243.2568236224095,2.85,93.0,240-270,90-120
1992-11-05 04:00:00,4.598655,249.1687290221136,3.53,62.0,240-270,60-90
1992-11-05 05:00:00,4.500753,252.8160325165277,3.03,76.0,240-270,60-90
1992-11-05 06:00:00,3.9593947,249.5226906222091,2.32,69.0,240-270,60-90
1992-11-05 07:00:00,3.6455996,244.7133416977276,1.86,84.0,240-270,60-90
1992-11-05 08:00:00,3.7811487,241.2038174029525,2.36,79.0,240-270,60-90
1992-11-05 09:00:00,3.7619536,238.53068100138583,2.78,79.0,210-240,60-90
1992-11-05 10:00:00,3.1719606,220.52394324508035,0.72,42.0,210-240,30-60
1992-11-05 11:00:00,3.215364,215.36105506545627,1.73,45.0,210-240,30-60
1992-11-05 12:00:00,3.1754334,214.7304026190056,1.26,42.0,210-240,30-60
1992-11-05 13:00:00,3.0521328,214.14782597807877,2.94,27.0,210-240,0-30
1992-11-05 14:00:00,2.7422802,214.1449167161822,2.17,23.0,210-240,0-30
1992-11-05 15:00:00,2.4834595,213.3126497155768,1.27,20.0,210-240,0-30
1992-11-05 16:00:00,2.112567,209.55933472685425,1.86,20.0,180-210,0-30
1992-11-05 17:00:00,2.3349593,199.89537714458703,0.66,20.0,180-210,0-30
1992-11-05 18:00:00,2.6859963,194.4081481672233,2.68,27.0,180-210,0-30
1992-11-05 19:00:00,3.1522927,188.82965310422375,1.51,35.0,180-210,30-60
1992-11-05 20:00:00,3.6048453,184.67859953810537,0.46,97.0,180-210,90-120
1992-11-05 21:00:00,3.859598,181.2101875657927,3.65,97.0,180-210,90-120
1992-11-05 22:00:00,4.773826,184.4597853539371,3.54,148.0,180-210,120-150
1992-11-05 23:00:00,4.838001,181.59618061665228,2.58,120.0,180-210,90-120
1992-11-06 00:00:00,4.7227793,183.92104993230552,1.46,151.0,180-210,150-180
1992-11-06 01:00:00,4.6253705,188.0744650020896,3.88,162.0,180-210,150-180
1992-11-06 02:00:00,4.686731,190.5783295474729,4.79,166.0,180-210,150-180
1992-11-06 03:00:00,4.5478754,192.84064407694453,4.81,166.0,180-210,150-180
1992-11-06 04:00:00,4.3964243,194.52401060697613,5.6,175.0,180-210,150-180
1992-11-06 05:00:00,4.5394173,193.6041079257581,5.53,183.0,180-210,180-210
1992-11-06 06:00:00,4.913626,195.59911263774325,4.63,191.0,180-210,180-210
1992-11-06 07:00:00,4.9567165,200.221794091973,5.05,189.0,180-210,180-210
1992-11-06 08:00:00,4.6856756,203.2859229566916,6.11,196.0,180-210,180-210
1992-11-06 09:00:00,4.355383,206.96889406395283,5.23,210.0,180-210,180-210
1992-11-06 10:00:00,4.530639,219.223178006018,4.73,201.0,210-240,180-210
1992-11-06 11:00:00,4.800132,221.6733713426228,2.83,217.0,210-240,210-240
1992-11-06 12:00:00,4.9183784,223.84800625239623,3.5,213.0,210-240,210-240
1992-11-06 13:00:00,4.8499475,225.1723881040752,3.66,208.0,210-240,180-210
1992-11-06 14:00:00,4.75571,218.260251507038,3.51,190.0,210-240,180-210
1992-11-06 15:00:00,4.7986236,208.8728402391501,3.23,197.0,180-210,180-210
1992-11-06 16:00:00,4.4656906,207.97454630058752,2.84,197.0,180-210,180-210
1992-11-06 17:00:00,3.8046384,225.75194351190083,2.4,211.0,210-240,210-240
1992-11-09 00:00:00,5.97664,187.64187599588365,6.95,176.0,180-210,150-180
1992-11-09 01:00:00,6.1079383,188.2058191259066,6.2,183.0,180-210,180-210
1992-11-09 02:00:00,6.2588,191.65530032339868,6.59,173.0,180-210,150-180
1992-11-09 03:00:00,6.6788597,193.59184496952307,3.86,187.0,180-210,180-210
1992-11-09 04:00:00,7.240802,194.47103769854257,5.51,194.0,180-210,180-210
1992-11-09 05:00:00,6.8217583,190.9334807124468,4.9,186.0,180-210,180-210
1992-11-09 06:00:00,7.4712887,188.19921272349123,6.26,191.0,180-210,180-210
1992-11-09 07:00:00,8.131086,189.80686236337263,7.71,183.0,180-210,180-210
1992-11-09 08:00:00,9.189293,192.8813166527953,6.87,191.0,180-210,180-210
1992-11-09 09:00:00,8.932823,197.27383346598728,9.02,197.0,180-210,180-210
1992-11-09 10:00:00,7.6633873,195.3803470081646,8.89,194.0,180-210,180-210
1992-11-09 11:00:00,8.394488,195.64956454282375,9.9,193.0,180-210,180-210
1992-11-09 12:00:00,9.550118,191.85795669219647,10.0,190.0,180-210,180-210
1992-11-09 13:00:00,9.667818,193.63744836939512,9.78,196.0,180-210,180-210
1992-11-09 14:00:00,10.051825,214.3868845183184,9.33,218.0,210-240,210-240
1992-11-09 15:00:00,9.117833,254.6585607022033,11.68,282.0,240-270,270-300
1992-11-09 16:00:00,9.330209,283.2762722958074,8.47,258.0,270-300,240-270
1992-11-09 17:00:00,8.672513,285.06256485661737,8.98,166.0,270-300,150-180
1992-11-09 18:00:00,7.665438,280.4021172684429,8.33,145.0,270-300,120-150
1992-11-09 19:00:00,7.433326,276.909393734332,10.04,145.0,270-300,120-150
1992-11-09 20:00:00,7.3953447,272.5564648757648,7.97,156.0,270-300,150-180
1992-11-09 21:00:00,7.135304,264.9112854160321,6.41,145.0,240-270,120-150
1992-11-09 22:00:00,5.806732,262.3719394062787,5.76,146.0,240-270,120-150
1992-11-09 23:00:00,6.453618,260.53412291569515,8.66,153.0,240-270,150-180
1992-11-10 00:00:00,6.867238,256.8948163805975,9.57,165.0,240-270,150-180
1992-11-10 01:00:00,6.875952,249.66105684694577,7.17,172.0,240-270,150-180
1992-11-10 02:00:00,7.336474,244.00857473782597,4.74,215.0,240-270,210-240
1992-11-10 03:00:00,7.033524,243.1676608402888,7.99,194.0,240-270,180-210
1992-11-10 04:00:00,6.835377,240.56103929733317,6.59,203.0,240-270,180-210
1992-11-10 05:00:00,6.3595963,236.3824579799866,8.62,191.0,210-240,180-210
1992-11-10 06:00:00,6.9452024,245.14779014258923,8.99,206.0,240-270,180-210
1992-11-10 07:00:00,8.348905,266.6473899935691,11.35,201.0,240-270,180-210
1992-11-10 08:00:00,9.845289,283.44725898155923,10.22,201.0,270-300,180-210
1992-11-10 09:00:00,9.9180565,290.2022685403249,8.08,229.0,270-300,210-240
1992-11-10 10:00:00,8.967057,290.7890163184816,9.62,204.0,270-300,180-210
1992-11-10 11:00:00,8.905789,288.6247466472008,9.3,34.0,270-300,30-60
1992-11-10 12:00:00,8.446045,283.99053508365256,8.05,39.0,270-300,30-60
1992-11-10 13:00:00,7.9759455,276.99170882553324,7.94,45.0,270-300,30-60
1992-11-10 14:00:00,7.7782807,270.3591376588752,7.81,61.0,270-300,60-90
1992-11-10 15:00:00,7.2087603,263.4520972336129,7.15,28.0,240-270,0-30
1992-11-10 16:00:00,6.599475,254.00500047833827,7.74,39.0,240-270,30-60
1992-11-10 17:00:00,6.346624,240.96544269676767,7.57,35.0,240-270,30-60
1992-11-10 18:00:00,6.3489914,228.79647123150104,7.27,48.0,210-240,30-60
1992-11-10 19:00:00,6.2183824,215.9970855721806,5.97,34.0,210-240,30-60
1992-11-10 20:00:00,6.320028,202.06139864333213,4.77,28.0,180-210,0-30
1992-11-10 21:00:00,6.7692327,187.63861055283147,5.48,66.0,180-210,60-90
1992-11-10 22:00:00,7.0543013,176.65688730682913,5.76,79.0,150-180,60-90
1992-11-10 23:00:00,7.32451,163.19055797185263,6.7,84.0,150-180,60-90
1992-11-11 00:00:00,8.874424,154.85761259175723,12.07,121.0,150-180,120-150
1992-11-11 01:00:00,8.858091,177.83168133702878,8.96,117.0,150-180,90-120
1992-11-11 02:00:00,12.769697,223.0876005402987,13.24,131.0,210-240,120-150
1992-11-11 03:00:00,14.501212,237.85324671746957,13.04,125.0,210-240,120-150
1992-11-11 04:00:00,14.292265,238.60702667656255,13.4,99.0,210-240,90-120
1992-11-11 05:00:00,13.474629,270.44907894593985,13.91,248.0,270-300,240-270
1992-11-11 06:00:00,13.229856,323.59058485275943,12.34,317.0,300-330,300-330
1992-11-11 07:00:00,11.571185,317.4569226731603,13.03,313.0,300-330,300-330
1992-11-11 08:00:00,11.3013,306.4917302962987,13.66,276.0,300-330,270-300
1992-11-11 09:00:00,11.499304,303.3680973554256,11.77,308.0,300-330,300-330
1992-11-11 10:00:00,11.445395,303.00432134317737,13.27,307.0,300-330,300-330
1992-11-11 11:00:00,11.307569,297.4048296556443,12.31,190.0,270-300,180-210
1992-11-11 12:00:00,11.23678,292.48106480890385,12.07,186.0,270-300,180-210
1992-11-11 13:00:00,11.201629,287.08432352926894,10.14,121.0,270-300,120-150
1992-11-11 14:00:00,11.142378,282.78700240159947,11.06,225.0,270-300,210-240
1992-11-11 15:00:00,10.929281,280.9436972151538,10.78,235.0,270-300,210-240
1992-11-11 16:00:00,10.691799,279.6249900042197,10.83,237.0,270-300,210-240
1992-11-11 17:00:00,11.067514,278.74378274512924,12.51,260.0,270-300,240-270
1992-11-11 18:00:00,11.281596,278.7984515675154,12.71,275.0,270-300,270-300
1992-11-11 19:00:00,11.412754,278.2475892165129,11.83,272.0,270-300,270-300
1992-11-11 20:00:00,11.244395,278.1157779558968,9.9,279.0,270-300,270-300
1992-11-11 21:00:00,11.48164,280.24564554567684,12.79,273.0,270-300,270-300
1992-11-11 22:00:00,11.855898,281.00923453379846,11.31,283.0,270-300,270-300
1992-11-11 23:00:00,11.835164,286.0107123866398,13.29,262.0,270-300,240-270
1992-11-12 00:00:00,11.70153,289.84356475112014,12.38,156.0,270-300,150-180
1992-11-12 01:00:00,11.288279,291.2952700569789,11.61,196.0,270-300,180-210
1992-11-12 02:00:00,10.82315,291.03860316787416,8.86,180.0,270-300,150-180
1992-11-12 03:00:00,10.759754,289.351231900233,11.89,141.0,270-300,120-150
1992-11-12 04:00:00,10.683054,287.6560738989863,10.9,115.0,270-300,90-120
1992-11-12 05:00:00,10.481442,288.1750554403056,10.5,106.0,270-300,90-120
1992-11-12 06:00:00,10.429163,290.35345018407344,10.81,108.0,270-300,90-120
1992-11-12 07:00:00,10.2725935,292.82232055416137,10.55,182.0,270-300,180-210
1992-11-12 08:00:00,10.121848,296.0285578707836,10.73,117.0,270-300,90-120
1992-11-12 09:00:00,9.568137,297.3992699940713,8.06,110.0,270-300,90-120
1992-11-12 10:00:00,8.986942,296.82427341125526,8.47,132.0,270-300,120-150
1992-11-12 11:00:00,9.046979,295.00175441943776,8.49,93.0,270-300,90-120
1992-11-12 12:00:00,8.73637,291.82445419138924,8.69,146.0,270-300,120-150
1992-11-12 13:00:00,8.454986,287.59569444365854,9.83,175.0,270-300,150-180
1992-11-12 14:00:00,8.327836,285.79072198285775,7.65,145.0,270-300,120-150
1992-11-12 15:00:00,7.8492646,284.12939652811906,7.34,186.0,270-300,180-210
1992-11-12 16:00:00,7.364423,282.1305707690705,7.19,217.0,270-300,210-240
1992-11-12 17:00:00,6.945795,282.0697127480903,4.71,231.0,270-300,210-240
1992-11-12 18:00:00,6.6242743,283.3373894583417,5.85,249.0,270-300,240-270
1992-11-12 19:00:00,6.12547,285.10561805022564,7.3,256.0,270-300,240-270
1992-11-12 20:00:00,5.714941,289.2717376764504,7.23,273.0,270-300,270-300
1992-11-12 21:00:00,5.129461,294.5107453979608,5.25,266.0,270-300,240-270
1992-11-12 22:00:00,3.9756029,308.66345492302554,4.37,276.0,300-330,270-300
1992-11-12 23:00:00,3.5505438,327.6510603240712,1.37,23.0,300-330,0-30
1992-11-13 00:00:00,4.084639,340.49924205446484,2.96,4.0,330-360,0-30
