ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,bin,target_bin,prediction,longterm_target_estimate
1992-05-20 02:00:00,1.029,20.0,5.25,30.0,0-30,0-30,2.501616456512985,3.3538802759360564
1992-05-20 03:00:00,1.029,300.0,4.78,3.0,270-300,0-30,2.593171593442014,2.278080529746213
1992-05-20 04:00:00,1.029,310.0,4.99,3.0,300-330,0-30,2.7166792695315576,2.1779810894977416
1992-05-20 05:00:00,0.0,0.0,4.64,2.0,0-30,0-30,2.1088197332060536,2.5343384259248865
1992-05-20 06:00:00,1.029,290.0,5.6,7.0,270-300,0-30,2.2024702664907823,2.278080529746213
1992-05-20 07:00:00,1.029,300.0,5.95,7.0,270-300,0-30,2.3926094290684654,2.278080529746213
1992-05-20 08:00:00,2.058,300.0,6.17,12.0,270-300,0-30,3.3453396427785105,2.989575760634703
1992-05-20 09:00:00,1.029,330.0,6.6,9.0,300-330,0-30,3.639707565427688,2.1779810894977416
1992-05-20 10:00:00,2.058,300.0,6.55,356.0,270-300,330-360,3.6775878688587738,2.989575760634703
1992-05-20 11:00:00,3.601,300.0,6.44,10.0,270-300,0-30,3.8308202421981266,4.056472885280904
1992-05-20 12:00:00,2.572,320.0,6.66,356.0,300-330,330-360,4.295962049565795,3.303676456501828
1992-05-20 13:00:00,5.144,310.0,6.51,359.0,300-330,330-360,4.623560114681188,5.180078584780837
1992-05-20 14:00:00,4.116,330.0,6.33,3.0,300-330,0-30,4.031644128118804,4.430101373322508
1992-05-20 15:00:00,3.601,320.0,7.08,14.0,300-330,0-30,4.43360945558544,4.05438321777675
1992-05-20 16:00:00,1.029,340.0,7.9,6.0,330-360,0-30,5.185296757154764,2.1697316742471635
1992-05-20 17:00:00,5.144,300.0,9.45,10.0,270-300,0-30,4.771625152094412,5.123370009927104
1992-05-20 18:00:00,5.659,330.0,9.96,14.0,300-330,0-30,4.272763025681266,5.555796740326595
1992-05-20 19:00:00,3.087,330.0,9.17,15.0,300-330,0-30,4.14235896830294,3.679394612047586
1992-05-20 20:00:00,2.058,320.0,9.23,15.0,300-330,0-30,4.059777151388303,2.928687850772664
1992-05-20 21:00:00,3.087,330.0,9.36,18.0,300-330,0-30,4.0908994051911485,3.679394612047586
1992-05-20 22:00:00,3.601,350.0,9.71,27.0,330-360,0-30,4.293177098294937,4.240297695363208
1992-05-20 23:00:00,4.116,350.0,9.71,15.0,330-360,0-30,3.93990082217808,4.654893924319181
1992-05-21 00:00:00,4.63,360.0,9.63,16.0,330-360,0-30,3.778762442662382,5.068685112053879
1992-05-21 01:00:00,4.116,360.0,9.37,16.0,330-360,0-30,3.825936906462047,4.654893924319181
1992-05-21 02:00:00,4.63,360.0,9.17,17.0,330-360,0-30,3.986033419169725,5.068685112053879
1992-05-21 03:00:00,4.116,10.0,9.13,19.0,0-30,0-30,4.119026669844347,5.812505825969566
1992-05-21 04:00:00,5.144,10.0,9.53,27.0,0-30,0-30,5.4087275185903465,6.631251231034176
1992-05-21 05:00:00,6.688,360.0,9.22,19.0,330-360,0-30,4.954392609947222,6.725459945435225
1992-05-21 06:00:00,4.116,10.0,9.97,26.0,0-30,0-30,5.419903091847523,5.812505825969566
1992-05-21 07:00:00,4.63,360.0,10.1,25.0,330-360,0-30,5.279064556133548,5.068685112053879
1992-05-21 08:00:00,4.63,10.0,9.13,18.0,0-30,0-30,5.313079566850195,6.221878528501871
1992-05-21 09:00:00,4.63,10.0,8.11,16.0,0-30,0-30,4.346359557719706,6.221878528501871
1992-05-21 10:00:00,4.63,350.0,7.6,12.0,330-360,0-30,4.6783140316101495,5.068685112053879
1992-05-21 11:00:00,4.63,350.0,6.83,7.0,330-360,0-30,4.880196539909892,5.068685112053879
1992-05-21 12:00:00,4.63,350.0,7.08,0.0,330-360,0-30,5.449742615344499,5.068685112053879
1992-05-21 13:00:00,4.63,350.0,7.56,0.0,330-360,0-30,5.284219070052411,5.068685112053879
1992-05-21 14:00:00,5.659,340.0,6.93,1.0,330-360,0-30,5.241747037986437,5.897072528744553
1992-05-21 15:00:00,3.601,350.0,6.9,2.0,330-360,0-30,4.791476410319028,4.240297695363208
1992-05-21 16:00:00,4.116,360.0,6.73,4.0,330-360,0-30,4.501764456106188,4.654893924319181
1992-05-21 17:00:00,2.572,350.0,6.38,6.0,330-360,0-30,4.0121734977968675,3.4119102786725355
1992-05-21 18:00:00,2.058,350.0,5.54,11.0,330-360,0-30,3.5125153768343935,2.998119090937836
1992-05-21 19:00:00,2.058,350.0,4.84,29.0,330-360,0-30,2.7544987107065686,2.998119090937836
1992-05-21 20:00:00,1.029,340.0,5.41,38.0,330-360,30-60,2.3503935468053907,2.1697316742471635
1992-05-21 21:00:00,1.029,20.0,4.33,37.0,0-30,30-60,2.4501596130365164,3.3538802759360564
1992-05-21 22:00:00,0.0,0.0,3.24,41.0,0-30,30-60,2.5893068852397807,2.5343384259248865
1992-05-21 23:00:00,0.0,0.0,3.52,53.0,0-30,30-60,2.0996009020863826,2.5343384259248865
1992-05-22 00:00:00,0.0,0.0,3.13,63.0,0-30,60-90,,2.5343384259248865
1992-05-22 01:00:00,0.0,0.0,2.64,93.0,0-30,90-120,,2.5343384259248865
1992-05-22 02:00:00,0.0,0.0,3.24,109.0,0-30,90-120,,2.5343384259248865
1992-05-22 03:00:00,0.0,0.0,3.66,119.0,0-30,90-120,,2.5343384259248865
1992-05-22 04:00:00,0.0,0.0,4.38,118.0,0-30,90-120,3.2054761762344,2.5343384259248865
1992-05-22 05:00:00,0.0,0.0,4.6,127.0,0-30,120-150,3.188652092887769,2.5343384259248865
1992-05-22 06:00:00,3.601,140.0,4.45,132.0,120-150,120-150,3.3948795367205253,6.060888454025179
1992-05-22 07:00:00,1.543,110.0,4.66,131.0,90-120,120-150,3.6967981825126137,4.20413974468725
1992-05-22 08:00:00,1.029,40.0,4.94,143.0,30-60,120-150,4.543332359107082,2.9926071919560804
1992-05-22 09:00:00,1.543,110.0,3.9,152.0,90-120,150-180,3.855406338373501,4.20413974468725
1992-05-22 10:00:00,2.572,50.0,2.86,152.0,30-60,150-180,4.364163144687065,4.269712152797584
1992-05-22 11:00:00,3.087,50.0,2.35,153.0,30-60,150-180,4.30334602706037,4.695965590797178
1992-05-22 12:00:00,2.572,50.0,2.55,30.0,30-60,0-30,4.673389215183861,4.269712152797584
1992-05-22 13:00:00,3.601,70.0,3.29,0.0,60-90,0-30,4.2116543005481635,5.460589550131294
1992-05-22 14:00:00,3.087,40.0,3.8,58.0,30-60,30-60,3.6967238495321997,4.695965590797178
1992-05-22 15:00:00,2.572,80.0,3.22,146.0,60-90,120-150,3.9328212673679728,4.556979196449084
1992-05-22 16:00:00,2.058,350.0,2.68,165.0,330-360,150-180,3.1972923189346885,2.998119090937836
1992-05-22 17:00:00,2.058,30.0,1.75,337.0,0-30,330-360,3.1990642227386243,4.173422125947226
1992-05-22 18:00:00,1.029,70.0,2.64,104.0,60-90,90-120,3.8105567897931483,3.2020027380121063
1992-05-22 19:00:00,1.029,90.0,3.51,127.0,60-90,120-150,3.651402974126396,3.2020027380121063
1992-05-22 20:00:00,2.058,80.0,4.52,117.0,60-90,90-120,3.516977384096497,4.105613091694316
1992-05-22 21:00:00,1.029,110.0,4.44,116.0,90-120,90-120,3.5634703127816048,3.833035689175388
1992-05-22 22:00:00,0.0,0.0,3.47,112.0,0-30,90-120,4.263247858665134,2.5343384259248865
1992-05-22 23:00:00,0.0,0.0,2.88,89.0,0-30,60-90,4.06533318561624,2.5343384259248865
1992-05-23 00:00:00,3.601,80.0,4.56,68.0,60-90,60-90,5.662393448167314,5.460589550131294
1992-05-23 01:00:00,4.63,140.0,5.97,83.0,120-150,60-90,5.827013163798373,6.906420685947424
1992-05-23 02:00:00,1.543,50.0,7.53,93.0,30-60,90-120,5.891901749864509,3.418032953377035
1992-05-23 03:00:00,3.601,90.0,7.86,89.0,60-90,60-90,5.96737651601305,5.460589550131294
1992-05-23 04:00:00,5.144,100.0,7.94,77.0,90-120,60-90,6.091591062869711,6.804034110247983
1992-05-23 05:00:00,4.116,10.0,8.18,98.0,0-30,90-120,6.079411561443337,5.812505825969566
1992-05-23 06:00:00,4.116,80.0,8.58,98.0,60-90,90-120,6.9001799131427735,5.912833799058735
1992-05-23 07:00:00,4.63,70.0,8.31,108.0,60-90,90-120,7.21558002525382,6.364199903813503
1992-05-23 08:00:00,5.144,130.0,8.65,119.0,120-150,90-120,7.48021408394483,7.3287759504839
1992-05-23 09:00:00,6.688,120.0,8.39,123.0,90-120,120-150,8.646232140270117,7.918790261435367
1992-05-23 10:00:00,7.717,110.0,8.79,125.0,90-120,120-150,8.771368755006321,8.661720364784989
1992-05-23 11:00:00,9.774,120.0,7.25,123.0,90-120,120-150,9.717835177741502,10.146858579158335
1992-05-23 12:00:00,6.173,130.0,7.86,125.0,120-150,120-150,8.385793286966827,8.174308182406145
1992-05-23 13:00:00,7.717,120.0,8.1,137.0,90-120,120-150,8.317685239441857,8.661720364784989
1992-05-23 14:00:00,7.202,120.0,6.68,131.0,90-120,120-150,7.278086249729241,8.28989431694723
1992-05-23 15:00:00,7.202,110.0,6.58,121.0,90-120,120-150,6.497736115664111,8.28989431694723
1992-05-23 16:00:00,6.688,100.0,6.34,116.0,90-120,90-120,6.658582735466796,7.918790261435367
1992-05-23 17:00:00,6.173,90.0,6.16,88.0,60-90,60-90,5.88404472152651,7.71917636225048
1992-05-23 18:00:00,5.144,100.0,6.01,79.0,90-120,60-90,4.987572823275034,6.804034110247983
1992-05-23 19:00:00,3.601,80.0,6.58,78.0,60-90,60-90,5.860424801127886,5.460589550131294
1992-05-23 20:00:00,5.144,100.0,7.6,86.0,90-120,60-90,6.821188236992989,6.804034110247983
1992-05-23 21:00:00,8.231,120.0,9.47,109.0,90-120,90-120,7.044258097925027,9.032824420296851
1992-05-23 22:00:00,9.26,120.0,9.86,98.0,90-120,90-120,7.048500924896476,9.775754523646476
1992-05-23 23:00:00,6.688,100.0,11.19,93.0,90-120,90-120,7.327470080596716,7.918790261435367
1992-05-24 00:00:00,5.659,110.0,10.57,101.0,90-120,90-120,7.4368488053668,7.175860158085744
1992-05-24 01:00:00,7.717,130.0,10.29,108.0,120-150,90-120,7.511180976792209,9.44301738171416
1992-05-24 02:00:00,8.746,140.0,9.19,116.0,120-150,90-120,7.261166045483994,10.288549613636404
1992-05-24 03:00:00,7.202,140.0,9.39,111.0,120-150,90-120,7.764703623185502,9.01984041432839
1992-05-24 04:00:00,8.231,130.0,9.73,109.0,120-150,90-120,8.096818747371458,9.865372646250634
1992-05-24 05:00:00,8.746,140.0,10.15,109.0,120-150,90-120,8.641203759870615,10.288549613636404
1992-05-24 06:00:00,9.774,140.0,9.62,118.0,120-150,90-120,8.892764085228679,11.133260142709355
1992-05-24 07:00:00,9.26,150.0,10.03,123.0,120-150,120-150,9.29190500456285,10.71090487817288
1992-05-24 08:00:00,8.746,150.0,10.17,123.0,120-150,120-150,9.811164732593316,10.288549613636404
1992-05-24 09:00:00,8.746,140.0,9.59,130.0,120-150,120-150,9.34388746755171,10.288549613636404
1992-05-24 10:00:00,9.26,150.0,8.77,130.0,120-150,120-150,9.244222887516496,10.71090487817288
1992-05-24 11:00:00,7.202,140.0,10.26,136.0,120-150,120-150,8.914806113579205,9.01984041432839
1992-05-24 12:00:00,7.717,140.0,9.68,143.0,120-150,120-150,8.536375606325052,9.44301738171416
1992-05-24 13:00:00,6.688,150.0,8.31,147.0,120-150,120-150,7.859710058557441,8.597485149791915
1992-05-24 14:00:00,7.202,120.0,8.55,143.0,90-120,120-150,7.856274152218206,8.28989431694723
1992-05-24 15:00:00,7.717,160.0,9.15,154.0,150-180,150-180,7.399208350459676,7.570161572151312
1992-05-24 16:00:00,8.231,160.0,8.24,157.0,150-180,150-180,6.770352491726564,7.981752321514192
1992-05-24 17:00:00,7.202,180.0,4.61,188.0,150-180,180-210,5.785885561090678,7.157770062575663
1992-05-24 18:00:00,6.688,170.0,4.67,192.0,150-180,180-210,5.721346808349922,6.746179313212782
1992-05-24 19:00:00,4.116,200.0,3.6,177.0,180-210,150-180,4.464330363944167,4.355800626650213
1992-05-24 20:00:00,2.572,190.0,4.64,139.0,180-210,120-150,4.874289572119688,2.997339673837371
1992-05-24 21:00:00,1.029,80.0,4.58,146.0,60-90,120-150,5.731998848064611,3.2020027380121063
1992-05-24 22:00:00,2.572,80.0,4.07,149.0,60-90,120-150,4.713235697245254,4.556979196449084
1992-05-24 23:00:00,2.572,70.0,4.24,148.0,60-90,120-150,4.323558168807475,4.556979196449084
1992-05-25 00:00:00,1.029,170.0,5.1,144.0,150-180,120-150,4.407272285828351,2.2146772691572534
1992-05-25 01:00:00,3.601,160.0,5.19,147.0,150-180,120-150,4.934863329475364,4.274232536397193
1992-05-25 02:00:00,4.116,170.0,6.24,141.0,150-180,120-150,4.94715678026649,4.686624045972842
1992-05-25 03:00:00,4.63,150.0,6.6,161.0,120-150,150-180,5.8154403265596075,6.906420685947424
1992-05-25 04:00:00,5.659,150.0,6.84,168.0,120-150,150-180,6.758946232499511,7.751952917869668
1992-05-25 05:00:00,7.717,180.0,6.4,162.0,150-180,150-180,6.503455754373285,7.570161572151312
1992-05-25 06:00:00,8.231,180.0,7.3,160.0,150-180,150-180,7.110917414934518,7.981752321514192
1992-05-25 07:00:00,7.202,170.0,7.59,150.0,150-180,120-150,7.179983181550988,7.157770062575663
1992-05-25 08:00:00,8.746,180.0,8.18,161.0,150-180,150-180,7.716266383185334,8.394143831089842
1992-05-25 09:00:00,7.717,180.0,8.3,164.0,150-180,150-180,8.044713276966283,7.570161572151312
