ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,bin,target_bin,longterm_target_estimate
2006-09-05 00:00:00,6.0173,197.12,6.9,131.9,180-210,120-150,5.446326960374878
2006-09-05 01:00:00,7.6886,206.46,4.66,156.3,180-210,150-180,6.748832329049384
2006-09-05 02:00:00,9.5364,212.97,3.43,202.6,210-240,180-210,10.250912797811953
2006-09-05 03:00:00,10.913,215.42,10.16,244.7,210-240,240-270,11.529797119951516
2006-09-05 04:00:00,11.855,215.07,12.57,245.3,210-240,240-270,12.40493080544873
2006-09-05 05:00:00,12.184,212.12,13.2,260.8,210-240,240-270,12.710577283716866
2006-09-05 06:00:00,11.53,210.2,14.57,244.0,210-240,240-270,12.103000393785678
2006-09-05 07:00:00,11.187,205.21,11.61,249.4,180-210,240-270,9.475263718848279
2006-09-05 08:00:00,11.093,202.03,8.04,215.9,180-210,210-240,9.402006072312407
2006-09-05 09:00:00,11.248,201.08,6.81,218.3,180-210,210-240,9.522803255430066
2006-09-05 10:00:00,11.292,201.9,10.7,233.9,180-210,210-240,9.557094068702177
2006-09-05 11:00:00,11.281,201.63,13.77,236.0,180-210,210-240,9.54852136538415
2006-09-05 12:00:00,10.634,205.05,11.38,230.2,180-210,210-240,9.044290542951071
2006-09-05 13:00:00,10.99,204.66,14.29,238.1,180-210,210-240,9.321734395789058
2006-09-05 14:00:00,11.148,201.71,12.07,240.9,180-210,240-270,9.444869588902545
2006-09-05 15:00:00,11.479,199.99,14.2,238.0,180-210,210-240,9.702830025108646
2006-09-05 16:00:00,11.587,200.47,14.7,244.2,180-210,240-270,9.786998384958373
2006-09-05 17:00:00,11.752,200.04,9.13,223.1,180-210,210-240,9.915588934728788
2006-09-05 18:00:00,11.943,199.37,7.3,234.0,180-210,210-240,10.064442237796356
2006-09-05 19:00:00,12.012,199.2,10.82,237.9,180-210,210-240,10.11821646770035
2006-09-05 20:00:00,12.321,200.05,11.51,238.7,180-210,210-240,10.359031497270397
2006-09-05 21:00:00,12.68,201.58,11.53,241.2,180-210,240-270,10.638813360104209
2006-09-05 22:00:00,12.697,203.1,6.16,203.4,180-210,180-210,10.652062083413888
2006-09-05 23:00:00,12.7,204.56,9.2,216.8,180-210,210-240,10.654400093409713
2006-09-06 00:00:00,12.301,207.66,8.33,220.3,180-210,210-240,10.343444763964893
2006-09-06 01:00:00,12.45,205.25,8.05,214.1,180-210,210-240,10.459565927090903
2006-09-06 02:00:00,12.603,206.47,11.31,214.0,180-210,210-240,10.578804436878016
2006-09-06 03:00:00,12.602,208.39,10.2,234.4,180-210,210-240,10.578025100212741
2006-09-06 04:00:00,12.608,209.09,10.38,230.1,180-210,210-240,10.58270112020439
2006-09-06 05:00:00,12.487,210.42,12.12,236.2,210-240,210-240,12.992069329051958
2006-09-06 06:00:00,11.372,213.36,14.61,240.7,210-240,240-270,11.956215762884872
2006-09-06 07:00:00,10.195,220.45,13.71,241.2,210-240,240-270,10.862763164338988
2006-09-06 08:00:00,8.4241,231.48,10.69,234.5,210-240,210-240,9.217567576603297
2006-09-06 09:00:00,6.5529,248.68,12.77,238.8,240-270,210-240,9.359339273430928
2006-09-06 10:00:00,5.2985,270.14,10.95,266.3,270-300,240-270,7.675474666292697
2006-09-06 11:00:00,4.7319,298.77,7.69,287.3,270-300,270-300,7.117588836029644
2006-09-06 12:00:00,5.1598,311.36,6.97,287.8,300-330,270-300,7.318734303324574
2006-09-06 13:00:00,4.2666,323.02,7.23,276.5,300-330,270-300,6.555677256435413
2006-09-06 14:00:00,3.5227,317.93,8.33,291.1,300-330,270-300,5.920166578893039
2006-09-06 15:00:00,3.2785,304.09,9.13,288.2,300-330,270-300,5.711547534053885
2006-09-06 16:00:00,3.2889,282.81,8.81,296.6,270-300,270-300,5.69678182390542
2006-09-06 17:00:00,3.6766,261.14,7.71,294.4,240-270,270-300,6.367915252916843
2006-09-06 18:00:00,5.2368,247.16,6.81,279.1,240-270,270-300,7.99056231921941
2006-09-06 19:00:00,5.6299,255.03,8.18,277.7,240-270,270-300,8.39939616216489
2006-09-06 20:00:00,6.0044,272.1,8.18,271.6,270-300,270-300,8.37051809654806
2006-09-06 21:00:00,6.5795,294.33,9.58,271.8,270-300,270-300,8.936773198885305
2006-09-06 22:00:00,7.3322,312.29,11.14,304.4,300-330,300-330,9.174606592467002
2006-09-06 23:00:00,7.9638,323.38,10.22,315.8,300-330,300-330,9.714179846850337
2006-09-07 00:00:00,9.5021,321.01,11.61,306.8,300-330,300-330,11.028343142002148
2006-09-07 01:00:00,8.9096,324.2,10.25,311.9,300-330,300-330,10.522172855076679
2006-09-07 02:00:00,8.7334,324.33,10.12,314.2,300-330,300-330,10.371645927555551
2006-09-07 03:00:00,8.5962,326.17,9.97,313.4,300-330,300-330,10.254436537908001
2006-09-07 04:00:00,8.7227,329.01,11.73,327.8,300-330,300-330,10.362504962036393
2006-09-07 05:00:00,8.8836,331.39,10.68,318.3,330-360,300-330,9.393032288825106
2006-09-07 06:00:00,7.9369,324.93,11.95,335.5,300-330,330-360,9.691199288676
